Booking_ID,adults,children,weekend_nights,week_nights,meal_plan,parking_request,room_type_reserved,lead_time,market_type,first_time,previous_cancellations,avg_price_per_room,number_of_special_requests,booking_status,arrival_date
INN12764,2.0,,,,Meal Plan 1,No,Room_Type 1,11,Online,Yes,0,91.0,1,Not_Canceled,2018/02/13
INN18680,3.0,,1.0,,Meal Plan 1,No,Room_Type 4,27,Online,Yes,0,177.0,0,Canceled,2018/04/29
INN30451,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,0,Corporate,No,0,65.0,0,Not_Canceled,2018/10/03
INN19752,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,273,Offline,Yes,0,95.0,0,Canceled,2018/05/13
INN28068,3.0,,1.0,,Meal Plan 1,No,Room_Type 4,232,Online,Yes,0,110.7,2,Not_Canceled,2018/12/05
INN11320,2.0,,,,Meal Plan 2,No,Room_Type 1,102,Offline,Yes,0,101.5,0,Canceled,2017/10/16
INN27687,2.0,,,,Meal Plan 2,No,Room_Type 1,261,Online,Yes,0,106.25,1,Canceled,2018/11/15
INN35072,2.0,,,,Meal Plan 1,No,Room_Type 1,168,Online,Yes,0,76.58,1,Not_Canceled,2018/07/26
INN01394,2.0,,,,Meal Plan 1,No,Room_Type 1,125,Offline,Yes,0,68.0,1,Not_Canceled,2018/12/27
INN14448,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,39,Online,Yes,0,174.25,2,Not_Canceled,2018/11/07
INN14482,2.0,2.0,1.0,,Meal Plan 1,No,Room_Type 6,88,Online,Yes,0,180.63,0,Canceled,2018/04/28
INN12703,2.0,,,,Not Selected,No,Room_Type 1,86,Online,Yes,0,79.5,1,Not_Canceled,2018/04/05
INN05428,2.0,2.0,2.0,,Meal Plan 1,No,Room_Type 6,14,Online,Yes,0,199.8,1,Not_Canceled,2017/10/22
INN27934,1.0,,2.0,,Meal Plan 1,No,Room_Type 1,75,Online,Yes,0,74.68,0,Not_Canceled,2018/03/19
INN09314,2.0,,2.0,,Meal Plan 1,No,Room_Type 4,62,Online,Yes,0,63.49,1,Not_Canceled,2018/03/13
INN09675,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,40,Online,Yes,0,83.9,1,Not_Canceled,2018/03/05
INN26377,2.0,,,,Meal Plan 1,No,Room_Type 1,100,Offline,Yes,0,100.0,0,Canceled,2018/09/28
INN13631,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,221,Offline,Yes,0,65.0,0,Not_Canceled,2017/10/10
INN28367,2.0,1.0,2.0,,Meal Plan 1,No,Room_Type 4,1,Offline,Yes,0,112.0,2,Not_Canceled,2018/02/14
INN33536,1.0,,2.0,,Meal Plan 1,No,Room_Type 4,5,Aviation,Yes,0,110.0,0,Not_Canceled,2018/10/11
INN11477,2.0,,1.0,,Not Selected,No,Room_Type 1,128,Online,Yes,0,116.1,0,Canceled,2018/06/10
INN32155,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,68,Online,Yes,0,96.6,1,Not_Canceled,2018/10/30
INN24239,2.0,,1.0,,Not Selected,No,Room_Type 1,22,Online,Yes,0,89.0,1,Not_Canceled,2018/09/11
INN17088,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,256,Offline,Yes,0,76.67,0,Not_Canceled,2017/09/14
INN36034,2.0,,,,Meal Plan 1,No,Room_Type 1,89,Online,Yes,0,96.3,1,Not_Canceled,2018/04/12
INN08670,1.0,,,,Meal Plan 1,No,Room_Type 1,191,Offline,Yes,0,95.0,0,Not_Canceled,2018/06/23
INN34489,2.0,,,,Meal Plan 2,No,Room_Type 1,69,Offline,Yes,0,106.0,0,Not_Canceled,2017/09/22
INN05741,2.0,,,,Meal Plan 1,No,Room_Type 1,24,Offline,Yes,0,74.8,0,Not_Canceled,2018/03/17
INN17129,2.0,,,,Meal Plan 1,No,Room_Type 1,249,Online,Yes,0,117.9,2,Canceled,2018/09/21
INN22203,3.0,,1.0,,Meal Plan 1,No,Room_Type 1,188,Online,Yes,0,94.14,1,Not_Canceled,2018/10/24
INN23437,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,18,Online,Yes,0,107.0,1,Not_Canceled,2017/10/05
INN32264,2.0,,,,Meal Plan 2,No,Room_Type 1,230,Offline,Yes,0,137.0,0,Canceled,2018/09/06
INN24415,2.0,,,,Meal Plan 1,No,Room_Type 4,80,Online,Yes,0,114.9,1,Not_Canceled,2018/12/27
INN08869,2.0,,,,Not Selected,No,Room_Type 1,58,Online,Yes,0,99.88,1,Not_Canceled,2018/04/27
INN15814,2.0,,,,Meal Plan 2,No,Room_Type 1,265,Offline,Yes,0,115.0,1,Canceled,2018/06/24
INN19141,1.0,,,,Meal Plan 1,No,Room_Type 1,164,Offline,Yes,0,100.0,0,Not_Canceled,2017/10/02
INN13601,1.0,1.0,2.0,,Meal Plan 1,No,Room_Type 1,163,Online,Yes,0,74.65,2,Not_Canceled,2018/10/23
INN34502,2.0,,,,Not Selected,No,Room_Type 4,15,Online,Yes,0,115.0,3,Not_Canceled,2017/09/17
INN35998,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,42,Online,Yes,0,104.42,1,Not_Canceled,2017/11/16
INN19883,2.0,,,,Meal Plan 1,No,Room_Type 1,24,Online,Yes,0,107.0,2,Not_Canceled,2017/10/08
INN10061,1.0,,,,Meal Plan 1,No,Room_Type 2,206,Online,Yes,0,126.9,1,Canceled,2018/09/08
INN03251,,2.0,,,Meal Plan 2,No,Room_Type 6,0,Online,Yes,0,18.6,2,Not_Canceled,2018/10/27
INN23022,1.0,,,,Meal Plan 1,No,Room_Type 1,5,Offline,Yes,0,65.8,0,Not_Canceled,2018/01/20
INN31541,2.0,2.0,,,Meal Plan 1,No,Room_Type 6,20,Online,Yes,0,211.0,2,Not_Canceled,2018/06/08
INN29707,2.0,,2.0,,Meal Plan 1,No,Room_Type 2,50,Online,Yes,0,65.66,0,Canceled,2018/03/05
INN11046,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,123,Online,Yes,0,90.0,2,Not_Canceled,2018/12/09
INN17746,2.0,,,,Meal Plan 2,No,Room_Type 1,346,Offline,Yes,0,115.0,1,Canceled,2018/09/13
INN23269,2.0,,,,Meal Plan 1,No,Room_Type 1,24,Online,Yes,0,117.67,1,Not_Canceled,2017/09/17
INN14563,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,5,Corporate,Yes,0,77.0,0,Not_Canceled,2018/11/28
INN08076,2.0,,,,Meal Plan 1,No,Room_Type 1,17,Online,Yes,0,136.0,1,Canceled,2018/08/19
INN27477,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,83,Online,Yes,0,105.3,2,Not_Canceled,2018/07/14
INN22114,2.0,1.0,,,Meal Plan 1,Yes,Room_Type 1,156,Online,Yes,0,91.96,2,Not_Canceled,2018/07/19
INN32078,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,144,Online,Yes,0,76.48,1,Not_Canceled,2018/08/04
INN29794,2.0,,,,Meal Plan 1,No,Room_Type 1,27,Online,Yes,0,88.4,1,Not_Canceled,2018/12/13
INN09371,2.0,,,,Not Selected,No,Room_Type 1,49,Online,Yes,0,63.75,0,Canceled,2018/03/08
INN34787,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,5,Online,Yes,0,120.0,3,Not_Canceled,2018/11/21
INN27290,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,34,Offline,Yes,0,66.0,1,Not_Canceled,2018/02/17
INN18458,1.0,,,,Meal Plan 1,No,Room_Type 1,85,Online,Yes,0,81.9,0,Not_Canceled,2018/04/01
INN19452,2.0,,,,Meal Plan 2,No,Room_Type 1,34,Offline,Yes,0,224.67,0,Canceled,2017/09/23
INN04495,1.0,,,,Meal Plan 1,No,Room_Type 1,9,Corporate,Yes,0,95.0,0,Not_Canceled,2018/10/20
INN27113,2.0,,2.0,,Meal Plan 1,No,Room_Type 4,47,Online,Yes,0,139.5,2,Not_Canceled,2018/10/09
INN02296,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,29,Online,Yes,0,75.95,1,Not_Canceled,2018/01/04
INN22254,2.0,1.0,,,Meal Plan 1,No,Room_Type 4,8,Online,Yes,0,92.4,3,Not_Canceled,2017/09/08
INN26566,2.0,,1.0,,Meal Plan 1,No,Room_Type 6,0,Online,Yes,0,150.92,1,Not_Canceled,2018/06/13
INN05947,1.0,,,,Meal Plan 1,No,Room_Type 1,32,Offline,Yes,0,73.0,0,Not_Canceled,2017/11/20
INN17374,2.0,,2.0,,Not Selected,No,Room_Type 1,5,Online,Yes,0,116.42,0,Canceled,2018/06/26
INN05887,2.0,1.0,,,Meal Plan 1,No,Room_Type 1,6,Online,Yes,0,187.0,2,Not_Canceled,2018/09/15
INN17246,2.0,,1.0,,Not Selected,No,Room_Type 1,179,Online,Yes,0,80.75,0,Canceled,2018/07/18
INN23394,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,118,Offline,Yes,0,110.0,0,Not_Canceled,2018/06/06
INN17014,2.0,,1.0,,Not Selected,No,Room_Type 1,1,Online,Yes,0,79.0,0,Canceled,2018/02/14
INN29324,1.0,,,,Meal Plan 1,No,Room_Type 1,36,Corporate,Yes,0,86.5,0,Not_Canceled,2018/03/01
INN23851,2.0,,,,Meal Plan 1,No,Room_Type 1,177,Online,Yes,0,76.5,2,Not_Canceled,2017/08/19
INN13785,2.0,,2.0,,Not Selected,No,Room_Type 1,7,Online,Yes,0,109.0,1,Not_Canceled,2018/04/23
INN01973,1.0,,1.0,,Meal Plan 1,No,Room_Type 4,12,Offline,Yes,0,75.0,0,Not_Canceled,2017/10/05
INN09893,1.0,,2.0,,Meal Plan 1,No,Room_Type 1,116,Offline,Yes,0,61.0,0,Canceled,2018/02/28
INN25728,3.0,,2.0,,Meal Plan 2,No,Room_Type 1,141,Offline,Yes,0,96.9,1,Not_Canceled,2018/07/12
INN06627,2.0,,,,Not Selected,No,Room_Type 1,139,Online,Yes,0,85.5,0,Canceled,2018/07/02
INN20109,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,152,Online,Yes,0,109.0,1,Canceled,2018/07/11
INN35445,2.0,,,,Meal Plan 1,No,Room_Type 1,10,Online,Yes,0,140.0,2,Not_Canceled,2018/08/18
INN22335,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,246,Offline,Yes,0,80.75,0,Not_Canceled,2018/09/07
INN28785,3.0,,,,Meal Plan 1,No,Room_Type 4,94,Online,Yes,0,137.7,2,Not_Canceled,2018/07/13
INN32598,1.0,,,,Meal Plan 1,No,Room_Type 1,32,Offline,Yes,0,73.0,0,Not_Canceled,2017/11/20
INN06552,2.0,,1.0,,Meal Plan 1,No,Room_Type 2,112,Online,Yes,0,76.97,0,Not_Canceled,2018/04/18
INN21118,2.0,,,,Meal Plan 1,No,Room_Type 1,82,Online,Yes,0,121.5,1,Not_Canceled,2018/06/10
INN35954,2.0,,2.0,,Meal Plan 1,No,Room_Type 4,153,Online,Yes,0,121.5,1,Canceled,2018/05/28
INN30027,2.0,,,,Not Selected,No,Room_Type 1,4,Online,Yes,0,81.0,2,Not_Canceled,2018/02/25
INN29033,2.0,,1.0,,Not Selected,No,Room_Type 1,231,Online,Yes,0,94.5,0,Canceled,2018/08/27
INN29091,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,0,Corporate,Yes,0,75.0,0,Not_Canceled,2017/11/16
INN34509,1.0,,2.0,,Meal Plan 1,No,Room_Type 1,116,Offline,Yes,0,61.0,0,Canceled,2018/02/28
INN36257,1.0,,,,Meal Plan 1,No,Room_Type 1,15,Corporate,Yes,0,81.0,0,Not_Canceled,2018/02/19
INN35434,2.0,,,,Meal Plan 1,No,Room_Type 4,112,Online,Yes,0,132.6,0,Canceled,2018/06/01
INN00153,2.0,,1.0,,Not Selected,No,Room_Type 1,69,Online,Yes,0,80.75,1,Not_Canceled,2018/04/04
INN34797,2.0,,2.0,,Meal Plan 2,No,Room_Type 1,277,Offline,Yes,0,89.14,1,Not_Canceled,2018/09/05
INN21606,2.0,,1.0,,Meal Plan 2,No,Room_Type 1,162,Offline,Yes,0,85.17,2,Not_Canceled,2017/09/04
INN14548,2.0,,1.0,,Not Selected,No,Room_Type 1,53,Online,Yes,0,116.1,1,Not_Canceled,2018/05/30
INN07367,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,0,Offline,Yes,0,75.0,0,Not_Canceled,2017/07/27
INN04678,2.0,,1.0,,Meal Plan 2,No,Room_Type 1,315,Online,Yes,0,160.0,0,Canceled,2018/09/30
INN16187,2.0,,,,Meal Plan 1,No,Room_Type 1,174,Online,Yes,0,105.3,1,Canceled,2018/08/06
INN09798,3.0,,,,Meal Plan 1,No,Room_Type 4,199,Online,Yes,0,120.7,1,Canceled,2018/12/28
INN34254,2.0,,2.0,,Not Selected,Yes,Room_Type 1,196,Online,Yes,0,83.0,1,Not_Canceled,2018/07/31
INN13659,3.0,,2.0,,Meal Plan 1,Yes,Room_Type 4,14,Online,Yes,0,159.33,2,Not_Canceled,2018/06/12
INN36003,2.0,,2.0,,Meal Plan 1,No,Room_Type 4,59,Online,Yes,0,101.27,2,Not_Canceled,2018/03/29
INN03193,2.0,,,,Meal Plan 1,No,Room_Type 1,263,Online,Yes,0,110.0,0,Canceled,2018/10/21
INN01307,2.0,,2.0,,Not Selected,No,Room_Type 1,40,Online,Yes,0,88.2,1,Not_Canceled,2018/03/20
INN07879,1.0,,2.0,,Not Selected,No,Room_Type 1,13,Online,Yes,0,99.0,1,Not_Canceled,2018/09/11
INN33067,1.0,,,,Meal Plan 1,No,Room_Type 1,14,Online,Yes,0,65.8,2,Not_Canceled,2018/01/15
INN06859,2.0,,,,Meal Plan 1,No,Room_Type 1,58,Online,Yes,0,120.0,0,Canceled,2018/04/28
INN08099,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,209,Online,Yes,0,81.77,1,Not_Canceled,2018/04/25
INN31356,2.0,1.0,1.0,,Meal Plan 1,No,Room_Type 1,38,Online,Yes,0,121.95,1,Not_Canceled,2018/04/25
INN20020,2.0,,,,Meal Plan 1,Yes,Room_Type 1,3,Online,Yes,0,131.0,2,Not_Canceled,2018/12/28
INN33006,2.0,,2.0,,Meal Plan 2,No,Room_Type 4,95,Online,Yes,0,183.6,1,Not_Canceled,2018/09/13
INN18427,1.0,,,,Meal Plan 1,No,Room_Type 4,67,Online,Yes,0,140.4,1,Not_Canceled,2018/05/31
INN10290,1.0,,,,Meal Plan 1,No,Room_Type 1,192,Offline,Yes,0,95.0,0,Not_Canceled,2018/06/24
INN29807,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,32,Offline,Yes,0,49.67,1,Not_Canceled,2018/02/22
INN27090,3.0,,,,Meal Plan 1,No,Room_Type 1,50,Offline,Yes,0,98.1,0,Not_Canceled,2018/11/02
INN11086,2.0,,2.0,,Meal Plan 1,No,Room_Type 4,142,Online,Yes,0,109.8,0,Not_Canceled,2018/06/26
INN01869,2.0,,,,Meal Plan 1,No,Room_Type 1,5,Offline,Yes,0,70.0,0,Not_Canceled,2017/11/04
INN06623,2.0,1.0,,,Not Selected,No,Room_Type 1,4,Online,Yes,0,97.41,0,Not_Canceled,2018/08/02
INN15397,2.0,,1.0,,Not Selected,No,Room_Type 1,1,Online,Yes,0,71.65,0,Not_Canceled,2018/08/01
INN12769,2.0,,1.0,,Not Selected,No,Room_Type 1,58,Online,Yes,0,83.3,1,Canceled,2018/03/21
INN04147,2.0,,,,Meal Plan 1,No,Room_Type 1,5,Online,Yes,0,91.0,0,Not_Canceled,2018/02/16
INN08947,1.0,,1.0,,Meal Plan 1,No,Room_Type 1,280,Offline,Yes,0,100.0,0,Canceled,2018/09/19
INN27376,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,53,Offline,Yes,0,77.04,0,Canceled,2018/08/27
INN27587,2.0,,,,Meal Plan 1,No,Room_Type 1,279,Offline,Yes,0,110.0,0,Canceled,2018/10/12
INN17660,2.0,,,,Meal Plan 1,No,Room_Type 4,26,Online,Yes,0,170.0,3,Not_Canceled,2018/11/11
INN05172,2.0,2.0,,,Meal Plan 1,No,Room_Type 6,52,Online,Yes,0,156.6,1,Not_Canceled,2018/12/02
INN35207,2.0,,2.0,,Meal Plan 2,No,Room_Type 1,75,Online,Yes,0,120.7,2,Not_Canceled,2018/12/24
INN21718,1.0,,,2.0,Meal Plan 2,No,Room_Type 1,11,Complementary,No,1,0.0,0,Not_Canceled,2018/10/04
INN29939,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,20,Offline,Yes,0,85.0,1,Not_Canceled,2018/08/29
INN33489,1.0,,,,Meal Plan 1,No,Room_Type 1,1,Online,Yes,0,85.0,1,Not_Canceled,2018/02/02
INN25862,1.0,,,,Meal Plan 1,No,Room_Type 4,1,Complementary,No,0,0.0,2,Not_Canceled,2018/05/17
INN08310,1.0,,,,Meal Plan 1,Yes,Room_Type 1,0,Corporate,No,0,50.0,1,Not_Canceled,2018/03/10
INN12958,2.0,2.0,1.0,,Meal Plan 1,No,Room_Type 6,4,Online,Yes,0,191.0,3,Not_Canceled,2018/04/11
INN07047,2.0,,2.0,,Not Selected,No,Room_Type 1,228,Online,Yes,0,90.1,1,Not_Canceled,2018/09/10
INN07886,1.0,,,,Not Selected,No,Room_Type 1,218,Online,Yes,0,49.68,0,Canceled,2018/12/09
INN30398,2.0,1.0,,,Meal Plan 1,No,Room_Type 1,84,Online,Yes,0,121.5,2,Not_Canceled,2018/07/15
INN22357,2.0,,2.0,,Meal Plan 1,No,Room_Type 1,35,Online,Yes,0,138.0,3,Not_Canceled,2018/10/09
INN23478,1.0,,,,Meal Plan 1,No,Room_Type 1,14,Offline,Yes,0,62.0,0,Not_Canceled,2018/05/18
INN27698,2.0,,,,Meal Plan 1,No,Room_Type 1,5,Offline,Yes,0,75.0,0,Not_Canceled,2017/08/12
INN20990,1.0,,1.0,,Meal Plan 2,No,Room_Type 1,301,Offline,Yes,0,90.0,0,Not_Canceled,2018/07/30
INN08520,2.0,,2.0,,Meal Plan 2,No,Room_Type 1,41,Offline,Yes,0,107.0,1,Not_Canceled,2018/03/27
INN03313,2.0,,1.0,,Meal Plan 1,No,Room_Type 1,0,Online,Yes,0,147.5,0,Not_Canceled,2017/09/05
INN33496,2.0,,,,Meal Plan 1,No,Room_Type 1,0,Online,Yes,0,124.0,0,Not_Canceled,2017/09/09
INN35842,3.0,,1.0,,Meal Plan 1,No,Room_Type 4,92,Online,Yes,0,150.3,0,Canceled,2018/08/22
INN02061,2.0,,,,Not Selected,No,Room_Type 1,0,Online,Yes,0,103.32,1,Not_Canceled,2018/07/23
